Estimate,2.5_ci,97.5_ci,SE,OR,OR_2.5_ci,OR_97.5_ci,Prob,Prob_2.5_ci,Prob_97.5_ci,Z-stat,P-val,Sig
-8.811,-8.817,-8.805,0.003,0.0,0.0,0.0,0.0,0.0,0.0,-2912.218,0.0,***
-0.044,-0.05,-0.038,0.003,0.957,0.951,0.963,0.489,0.488,0.491,-14.483,0.0,***
-0.333,-0.339,-0.327,0.003,0.717,0.712,0.721,0.417,0.416,0.419,-110.277,0.0,***
-0.332,-0.337,-0.326,0.003,0.718,0.714,0.722,0.418,0.416,0.419,-109.405,0.0,***
0.025,0.019,0.031,0.003,1.025,1.019,1.031,0.506,0.505,0.508,8.265,0.0,***
-0.353,-0.359,-0.347,0.003,0.703,0.698,0.707,0.413,0.411,0.414,-116.497,0.0,***
-0.096,-0.102,-0.09,0.003,0.908,0.903,0.914,0.476,0.474,0.477,-31.719,0.0,***
0.352,0.347,0.358,0.003,1.423,1.414,1.431,0.587,0.586,0.589,116.304,0.0,***
-0.328,-0.334,-0.322,0.003,0.72,0.716,0.724,0.419,0.417,0.42,-108.571,0.0,***
0.666,0.66,0.672,0.003,1.946,1.935,1.958,0.661,0.659,0.662,220.026,0.0,***
0.329,0.323,0.335,0.003,1.389,1.381,1.397,0.581,0.58,0.583,108.471,0.0,***
-0.361,-0.367,-0.355,0.003,0.697,0.693,0.701,0.411,0.409,0.412,-118.992,0.0,***
-0.682,-0.688,-0.676,0.003,0.506,0.503,0.509,0.336,0.335,0.337,-224.731,0.0,***
0.332,0.326,0.338,0.003,1.394,1.385,1.402,0.582,0.581,0.584,105.995,0.0,***
-0.123,-0.129,-0.117,0.003,0.884,0.879,0.89,0.469,0.468,0.471,-40.531,0.0,***
0.122,0.116,0.128,0.003,1.129,1.123,1.136,0.53,0.529,0.532,40.173,0.0,***
0.653,0.647,0.659,0.003,1.921,1.909,1.932,0.658,0.656,0.659,215.55,0.0,***
-0.256,-0.262,-0.25,0.003,0.774,0.77,0.779,0.436,0.435,0.438,-84.638,0.0,***
-0.015,-0.021,-0.01,0.003,0.985,0.979,0.991,0.496,0.495,0.498,-5.105,0.0,***
0.24,0.233,0.246,0.003,1.271,1.263,1.278,0.56,0.558,0.561,76.495,0.0,***
-0.583,-0.589,-0.577,0.003,0.558,0.555,0.562,0.358,0.357,0.36,-192.432,0.0,***
