                     Estimate        2.5_ci       97.5_ci            SE            OR  OR_2.5_ci  OR_97.5_ci  Prob  Prob_2.5_ci  Prob_97.5_ci  Z-stat  P-val Sig
(Intercept)           -39.566 -3.490463e+07  3.490456e+07  1.780879e+07  0.000000e+00        0.0         inf   0.0          0.0           NaN    -0.0    1.0    
Pontuacao_Ansiedade     0.000 -1.224399e+06  1.224399e+06  6.247049e+05  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
Pontuacao_Depressao     0.000 -3.303317e+06  3.303317e+06  1.685397e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
hads2                   0.000 -4.875744e+06  4.875744e+06  2.487670e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
hads1                   0.000 -3.101579e+06  3.101579e+06  1.582467e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
Score_Ansiedade         0.000 -9.364497e+06  9.364497e+06  4.777892e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
hads14                 -0.000 -4.524593e+06  4.524593e+06  2.308508e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN    -0.0    1.0    
hads5                   0.000 -2.751525e+06  2.751525e+06  1.403865e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
hads4                   0.000 -5.622732e+06  5.622732e+06  2.868793e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
score_eq5d             -0.000 -1.069135e+07  1.069135e+07  5.454871e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN    -0.0    1.0    
haq20                  -0.000 -4.203088e+06  4.203088e+06  2.144472e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN    -0.0    1.0    
hads10                  0.000 -5.182122e+06  5.182122e+06  2.643988e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
eq5d5                  -0.000 -4.524863e+06  4.524863e+06  2.308646e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN    -0.0    1.0    
hads8                   0.000 -4.262572e+06  4.262572e+06  2.174822e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
Score_Depressao        78.880 -1.223168e+07  1.223183e+07  6.240806e+06  1.808564e+34        0.0         inf   1.0          0.0           NaN     0.0    1.0    
hads12                 -0.000 -4.280480e+06  4.280480e+06  2.183959e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN    -0.0    1.0    
haq13                  -0.000 -4.007680e+06  4.007680e+06  2.044772e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN    -0.0    1.0    
haqScore                0.000 -8.971499e+06  8.971499e+06  4.577380e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
haq19                   0.000 -5.357181e+06  5.357181e+06  2.733306e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
hads3                   0.000 -2.996032e+06  2.996032e+06  1.528616e+06  1.000000e+00        0.0         inf   0.5          0.0           NaN     0.0    1.0    
