DepressivePathGroup,value,wave,variable
1,2.1121019108280255,T0,Alcohol Consumption
2,2.341708542713568,T0,Alcohol Consumption
3,2.4857142857142858,T0,Alcohol Consumption
1,3.803996598639456,T1,Alcohol Consumption
2,3.201005025125628,T1,Alcohol Consumption
3,3.0428571428571427,T1,Alcohol Consumption
1,3.8975247524752477,T2,Alcohol Consumption
2,3.466666666666667,T2,Alcohol Consumption
3,3.3225806451612905,T2,Alcohol Consumption
1,3.719965797349295,T3,Alcohol Consumption
2,3.1243523316062176,T3,Alcohol Consumption
3,2.710144927536232,T3,Alcohol Consumption
