DepressivePathGroup,value,wave,variable
1,1.6093418259023355,T0,Regular Exercise
2,1.763819095477387,T0,Regular Exercise
3,1.8714285714285714,T0,Regular Exercise
1,0.5307855626326964,T1,Regular Exercise
2,0.4472361809045226,T1,Regular Exercise
3,0.21428571428571427,T1,Regular Exercise
1,0.4817012858555885,T2,Regular Exercise
2,0.3696969696969697,T2,Regular Exercise
3,0.1935483870967742,T2,Regular Exercise
1,0.7900812312954254,T3,Regular Exercise
2,0.5699481865284974,T3,Regular Exercise
3,0.3333333333333333,T3,Regular Exercise
