DepressivePathGroup,value,wave,variable
1,2.9099787685774947,T0,Social Support
2,2.512562814070352,T0,Social Support
3,2.342857142857143,T0,Social Support
1,1.9923566878980892,T0,Social Support
2,1.979899497487437,T0,Social Support
3,1.957142857142857,T0,Social Support
1,0.0016985138004246285,T0,Social Support
2,0.005025125628140704,T0,Social Support
3,0.014285714285714285,T0,Social Support
1,0.005095541401273885,T0,Social Support
2,0.01507537688442211,T0,Social Support
3,0.04285714285714286,T0,Social Support
1,0.006794055201698514,T1,Social Support
2,0.020100502512562814,T1,Social Support
3,0.014285714285714285,T1,Social Support
1,0.0021231422505307855,T1,Social Support
2,0.0,T1,Social Support
3,0.0,T1,Social Support
1,0.004246284501061571,T1,Social Support
2,0.01507537688442211,T1,Social Support
3,0.014285714285714285,T1,Social Support
1,0.0008492569002123143,T1,Social Support
2,0.005025125628140704,T1,Social Support
3,0.0,T1,Social Support
1,2.860878145041934,T2,Social Support
2,2.3454545454545452,T2,Social Support
3,2.193548387096774,T2,Social Support
1,2.74283269148481,T3,Social Support
2,2.2916666666666665,T3,Social Support
3,2.0579710144927534,T3,Social Support
1,0.036093418259023353,T3,Social Support
2,0.12060301507537688,T3,Social Support
3,0.22857142857142856,T3,Social Support
1,0.02038216560509554,T3,Social Support
2,0.07537688442211055,T3,Social Support
3,0.1,T3,Social Support
1,0.012314225053078557,T3,Social Support
2,0.05025125628140704,T3,Social Support
3,0.1,T3,Social Support
1,0.005095541401273885,T3,Social Support
2,0.0,T3,Social Support
3,0.05714285714285714,T3,Social Support
